metric,sample,left,right,n_left,n_right,U,p-value,A12,effect
duration,transformers.tokenization_utils_base,DefaultPrompt,NoCompressionPrompt,60,30,500.0,0.0006275839554503564,0.7222222222222222,large
score,_ForestDiffusion.diffusion_with_trees_class,DefaultPrompt,NoCompressionPrompt,60,30,1485.0,5.593198124314751e-09,0.825,large
score,_ctgan.transformer,DefaultPrompt,NoCompressionPrompt,60,30,1284.5,0.0004556552092132069,0.7136111111111111,large
score,_numpy._funcs,DefaultPrompt,NoCompressionPrompt,60,30,1452.5,5.473882278348342e-07,0.8069444444444445,large
score,_numpy._getlimits,DefaultPrompt,NoCompressionPrompt,60,30,1236.0,0.00040104060097655256,0.6866666666666666,medium
score,_numpy._ndarray,DefaultPrompt,NoCompressionPrompt,60,30,1363.0,9.08543965897684e-06,0.7572222222222222,large
score,_numpy._normalizations,DefaultPrompt,NoCompressionPrompt,60,30,1457.0,1.37993952535504e-07,0.8094444444444444,large
score,_numpy._ufuncs,DefaultPrompt,NoCompressionPrompt,60,30,1401.5,9.771746110828702e-07,0.7786111111111111,large
score,_numpy._util,DefaultPrompt,NoCompressionPrompt,60,30,1369.5,3.5920255463343955e-05,0.7608333333333334,large
score,nn.attention.bias,DefaultPrompt,NoCompressionPrompt,60,30,1530.0,2.3542295187851608e-09,0.85,large
score,nn.attention.flex_attention,DefaultPrompt,NoCompressionPrompt,60,30,1339.0,1.134488549647188e-05,0.7438888888888889,large
score,nn.modules.rnn,DefaultPrompt,NoCompressionPrompt,60,30,1424.5,1.262200549672266e-06,0.7913888888888889,large
score,transformers.data.metrics.squad_metrics,DefaultPrompt,NoCompressionPrompt,60,30,1271.0,0.001202343228058973,0.7061111111111111,medium
score,transformers.pipelines.text_generation,DefaultPrompt,NoCompressionPrompt,60,30,1245.0,0.0006544987241892662,0.6916666666666667,medium
score,transformers.tokenization_utils_base,DefaultPrompt,NoCompressionPrompt,60,30,810.0,0.013762381429340522,0.45,negligible
