metric,sample,left,right,n_left,n_right,U,p-value,A12,effect
score,transformers.pipelines.text_generation,Model experiment (gemma4:e2b),Model experiment (gemma4:26b),30,30,390.0,0.04177393035130319,0.43333333333333335,small
score,transformers.tokenization_utils_base,Model experiment (gemma4:e2b),Model experiment (gemma4:26b),30,30,436.0,0.5971893146228962,0.48444444444444446,negligible
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,208.0,0.00035638379914234935,0.7688888888888888,large
duration,_ctgan.transformer,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,56.0,5.967306094734087e-09,0.9377777777777778,large
duration,_numpy._getlimits,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,308.0,0.036438855913451085,0.6577777777777778,medium
duration,_numpy._ndarray,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,155.0,1.336676003162719e-05,0.8277777777777777,large
duration,nn.attention.bias,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,414.0,0.5996894845123704,0.54,negligible
duration,nn.attention.flex_attention,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,352.0,0.14944870623046316,0.6088888888888889,small
duration,nn.modules.rnn,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,225.0,0.0009030694895713402,0.75,large
duration,transformers.data.metrics.squad_metrics,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,29.0,5.072313498155901e-10,0.9677777777777777,large
duration,transformers.pipelines.text_generation,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,225.0,0.0009030694895713402,0.75,large
duration,transformers.tokenization_utils_base,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,29.0,5.072313498155901e-10,0.9677777777777777,large
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,_ctgan.transformer,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,493.0,0.18993032345174854,0.5477777777777778,negligible
score,_numpy._getlimits,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,285.0,0.0006547768072772143,0.31666666666666665,medium
score,_numpy._ndarray,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,615.0,0.00029785530368703285,0.6833333333333333,medium
score,nn.attention.bias,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,nn.attention.flex_attention,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,nn.modules.rnn,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,600.0,0.0006605864671591305,0.6666666666666666,medium
score,transformers.data.metrics.squad_metrics,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,480.0,0.16080212144022055,0.5333333333333333,negligible
score,transformers.pipelines.text_generation,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,450.0,1.0,0.5,negligible
score,transformers.tokenization_utils_base,Model experiment (gemma4:e2b),Model experiment (gemma4:31b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,716.0,8.663432943179647e-05,0.20444444444444446,large
duration,_ctgan.transformer,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,431.0,0.7844597689495465,0.5211111111111111,negligible
duration,_numpy._getlimits,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,664.0,0.0015968867051760125,0.26222222222222225,large
duration,_numpy._ndarray,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,715.0,9.211268793716519e-05,0.20555555555555555,large
duration,nn.attention.bias,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,514.0,0.3478277829758114,0.4288888888888889,small
duration,nn.attention.flex_attention,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,619.0,0.012732114616306573,0.31222222222222223,medium
duration,nn.modules.rnn,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,423.0,0.6952153990669099,0.53,negligible
duration,transformers.data.metrics.squad_metrics,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,858.0,1.6947244610469585e-09,0.04666666666666667,large
duration,transformers.pipelines.text_generation,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,636.0,0.006097142345173947,0.29333333333333333,medium
duration,transformers.tokenization_utils_base,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,636.0,0.006097142345173947,0.29333333333333333,medium
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,_ctgan.transformer,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,375.0,0.021569280870979497,0.4166666666666667,small
score,_numpy._getlimits,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,630.0,0.0014776344277464945,0.7,medium
score,_numpy._ndarray,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,551.5,0.11644744279964797,0.6127777777777778,small
score,nn.attention.bias,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,450.0,1.0,0.5,negligible
score,nn.attention.flex_attention,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,435.0,0.33371069574356604,0.48333333333333334,negligible
score,nn.modules.rnn,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,285.5,0.0007660227097475664,0.31722222222222224,medium
score,transformers.data.metrics.squad_metrics,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,480.0,0.16080212144022055,0.5333333333333333,negligible
score,transformers.pipelines.text_generation,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,405.0,0.16940074835356123,0.45,negligible
score,transformers.tokenization_utils_base,Model experiment (gemma4:12b),Model experiment (gemma4:26b),30,30,483.0,0.3560230891767894,0.5366666666666666,negligible
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,155.0,1.336676003162719e-05,0.8277777777777777,large
duration,_ctgan.transformer,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,83.0,6.010385631570395e-08,0.9077777777777778,large
duration,_numpy._getlimits,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,300.0,0.027086318388295935,0.6666666666666666,medium
duration,_numpy._ndarray,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,505.0,0.4203863296078133,0.4388888888888889,small
duration,nn.attention.bias,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,269.0,0.007617064306244218,0.7011111111111111,medium
duration,nn.attention.flex_attention,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,230.0,0.0011737583520143354,0.7444444444444445,large
duration,nn.modules.rnn,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,155.0,1.336676003162719e-05,0.8277777777777777,large
duration,transformers.data.metrics.squad_metrics,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,365.0,0.21156123692597317,0.5944444444444444,small
duration,transformers.pipelines.text_generation,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,130.0,2.3167867652540457e-06,0.8555555555555555,large
duration,transformers.tokenization_utils_base,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,303.0,0.030317428813310024,0.6633333333333333,medium
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,_ctgan.transformer,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,435.0,0.33371069574356604,0.48333333333333334,negligible
score,_numpy._getlimits,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,525.0,0.20324402597109292,0.5833333333333334,small
score,_numpy._ndarray,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,765.0,4.449779307666687e-08,0.85,large
score,nn.attention.bias,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,450.0,1.0,0.5,negligible
score,nn.attention.flex_attention,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,450.0,1.0,0.5,negligible
score,nn.modules.rnn,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,transformers.data.metrics.squad_metrics,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,480.0,0.16080212144022055,0.5333333333333333,negligible
score,transformers.pipelines.text_generation,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,transformers.tokenization_utils_base,Model experiment (gemma4:12b),Model experiment (gemma4:31b),30,30,510.0,0.04191093806403428,0.5666666666666667,small
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,104.0,3.2555395233551233e-07,0.8844444444444445,large
duration,_ctgan.transformer,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,147.0,7.738685688576608e-06,0.8366666666666667,large
duration,_numpy._getlimits,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,181.0,7.19878817481734e-05,0.7988888888888889,large
duration,_numpy._ndarray,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,256.0,0.004225917731378622,0.7155555555555555,large
duration,nn.attention.bias,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,235.0,0.0015177961906131159,0.7388888888888889,large
duration,nn.attention.flex_attention,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,201.0,0.0002388484570697063,0.7766666666666666,large
duration,nn.modules.rnn,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,296.0,0.02324344705367121,0.6711111111111111,medium
duration,transformers.data.metrics.squad_metrics,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,0.0,3.019859359162157e-11,1.0,large
duration,transformers.pipelines.text_generation,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,127.0,1.860848389843697e-06,0.8588888888888889,large
duration,transformers.tokenization_utils_base,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,53.0,4.572570439873648e-09,0.9411111111111111,large
score,_ForestDiffusion.diffusion_with_trees_class,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,450.0,1.0,0.5,negligible
score,_ctgan.transformer,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,509.0,0.09662705540038424,0.5655555555555556,small
score,_numpy._getlimits,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,345.0,0.04779212533527004,0.38333333333333336,small
score,_numpy._ndarray,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,645.0,6.444714687232522e-05,0.7166666666666667,large
score,nn.attention.bias,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,450.0,1.0,0.5,negligible
score,nn.attention.flex_attention,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,465.0,0.33371069574356604,0.5166666666666667,negligible
score,nn.modules.rnn,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,630.0,0.0001451995304086489,0.7,medium
score,transformers.data.metrics.squad_metrics,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,450.0,1.0,0.5,negligible
score,transformers.pipelines.text_generation,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,510.0,0.04177393035130319,0.5666666666666667,small
score,transformers.tokenization_utils_base,Model experiment (gemma4:26b),Model experiment (gemma4:31b),30,30,480.0,0.16080212144022055,0.5333333333333333,negligible
duration,_ForestDiffusion.diffusion_with_trees_class,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,460.0,0.8883028421533887,0.4888888888888889,negligible
duration,_ctgan.transformer,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,362.0,0.19579075835119908,0.5977777777777777,small
duration,_numpy._getlimits,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,326.0,0.06786886081944325,0.6377777777777778,small
duration,_numpy._ndarray,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,373.0,0.25805149508623626,0.5855555555555556,small
duration,nn.attention.bias,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,381.0,0.31118764341027494,0.5766666666666667,small
duration,nn.attention.flex_attention,Model experiment (qwen2.5-coder:0.5b),Model experiment (qwen2.5-coder:1.5b),30,30,474.0,0.7282652959955469,0.47333333333333333,negligible
